Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2022M02,631
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2021M08,619
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2021M02,594
Total Nacional,07 Castilla y León,09 Burgos,Viviendas turísticas,2020M08,627
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2025M05,"1,537"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2024M11,"1,538"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2024M08,"1,605"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2024M02,"1,33"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2023M08,"1,226"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2023M02,"1,128"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2022M08,"1,124"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2022M02,986
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2021M08,"1,026"
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2021M02,928
Total Nacional,07 Castilla y León,24 León,Viviendas turísticas,2020M08,"1,002"
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2025M05,239
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2024M11,234
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2024M08,228
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2024M02,187
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2023M08,178
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2023M02,167
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2022M08,156
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2022M02,168
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2021M08,166
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2021M02,152
Total Nacional,07 Castilla y León,34 Palencia,Viviendas turísticas,2020M08,145
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2025M05,"1,41"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2024M11,"1,454"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2024M08,"1,512"
Total Nacional,07 Castilla y León,37 Salamanca,Viviendas turísticas,2024M02,"1,378"
